,CustomerID,Periodicity,Recency,threshold_annulation,purchase_amount,purchasing
1190,17905.0,11,9,0.0,201.74999999999997,1
1213,15485.0,5,30,0.0,950.09,1
1236,12433.0,1,22,0.0,1919.1400000000008,1
1309,16955.0,15,17,0.2,156.09999999999997,1
1315,15350.0,73,30,0.0,115.65,1
1320,15605.0,6,30,0.0,194.85000000000002,1
1332,18144.0,9,17,0.0,165.04999999999998,1
1335,15922.0,31,29,0.5,369.50000000000006,1
1346,14594.0,7,29,0.0,254.99999999999997,1
1377,15165.0,14,30,0.0,487.75,1
1404,14911.0,1,8,0.1862348178137652,540.3799999999999,1
1424,14911.0,1,8,0.1862348178137652,15.0,1
1425,16456.0,4,30,0.0,787.4,1
1441,17841.0,1,12,0.26627218934911245,-3.8,0
1443,18289.0,1,30,0.0,5521.140000000006,1
1970,18290.0,365,30,1.0,0.0,0
1971,18291.0,365,30,1.0,0.0,0
1972,18292.0,365,30,1.0,0.0,0
1973,12472.0,1,26,0.46153846153846156,-122.3,0
1987,18293.0,365,30,1.0,0.0,0
1988,18294.0,365,30,1.0,0.0,0
1989,17346.0,1,16,0.0625,146.60999999999996,1
2024,18295.0,365,30,1.0,0.0,0
2025,18296.0,365,30,1.0,0.0,0
2026,18297.0,365,30,1.0,0.0,0
2027,18298.0,183,30,0.0,2.9699999999999998,1
2029,17643.0,46,30,0.0,101.55000000000001,1
2037,17841.0,1,12,0.26627218934911245,537.38,1
2102,18299.0,365,30,0.0,99.75,1
2103,17873.0,8,30,0.16666666666666666,215.14999999999998,1
2112,13093.0,3,15,0.38461538461538464,799.4000000000001,1
2125,12921.0,1,23,0.26,322.4,1
2140,13468.0,2,15,0.0975609756097561,308.65000000000003,1
2158,17760.0,15,30,0.0,172.54,1
2167,13468.0,2,15,0.0975609756097561,51.4,1
2169,18300.0,183,30,0.0,6.7,1
2171,16928.0,2,30,0.10526315789473684,116.25,1
2177,16048.0,41,30,0.3333333333333333,251.40000000000003,1
2184,16048.0,41,30,0.3333333333333333,5.04,1
2185,16274.0,6,30,0.0,357.94999999999993,1
2252,14496.0,20,30,0.0,304.34000000000003,1
2257,14696.0,3,22,0.2222222222222222,294.61999999999995,1
2275,16539.0,9,15,0.0,442.35,1
2296,17025.0,41,30,0.0,143.12,1
2300,17025.0,41,30,0.0,17.85,1
2301,13777.0,2,8,0.1951219512195122,1552.98,1
2309,13777.0,2,8,0.1951219512195122,2558.4199999999996,1
2325,13777.0,2,8,0.1951219512195122,497.0,1
2329,17690.0,2,21,0.0625,279.6,1
2337,13777.0,2,8,0.1951219512195122,315.96000000000004,1
2339,17690.0,2,21,0.0625,97.2,1
2345,13777.0,2,8,0.1951219512195122,330.0,1
2346,12947.0,4,16,0.45454545454545453,304.03999999999996,1
2363,13777.0,2,8,0.1951219512195122,198.0,1
2364,13777.0,2,8,0.1951219512195122,1132.8000000000002,1
2365,17460.0,10,29,0.25,19.9,1
2366,18229.0,3,23,0.0,344.2,1
2373,14142.0,17,30,0.0,311.81000000000006,1
2395,17069.0,3,8,0.3076923076923077,277.05,1
2406,18301.0,365,30,1.0,0.0,0
2407,13065.0,27,30,0.0,205.85999999999999,1
2421,14606.0,1,9,0.2734375,198.32,1
2461,18302.0,1,30,0.0,6915.650000000008,1
3053,16835.0,37,30,0.0,81.75,1
3058,15235.0,3,8,0.0,79.5,1
3063,13576.0,3,30,0.1,349.15000000000003,1
3074,18303.0,61,30,0.0,38.09,1
3080,18011.0,14,30,0.0,102.79,1
3108,13090.0,3,22,0.2222222222222222,160.6,1
3112,15694.0,5,17,0.06666666666666667,306.4,1
3118,17850.0,2,29,0.02857142857142857,251.62,1
3132,17850.0,2,29,0.02857142857142857,163.76000000000002,1
3146,14741.0,7,18,0.0,184.5,1
3155,13715.0,4,18,0.375,272.6499999999999,1
3170,14092.0,2,9,0.17647058823529413,-5.9,0
3171,17732.0,21,29,0.0,303.97,1
3189,12855.0,122,29,0.0,38.1,1
3192,17850.0,2,29,0.02857142857142857,244.46000000000004,1
3210,15752.0,1,29,0.125,259.65,1
3224,17850.0,2,29,0.02857142857142857,206.76000000000002,1
3239,17855.0,22,29,0.0,208.96999999999997,1
3258,14047.0,11,22,0.2857142857142857,286.92,1
3270,17925.0,365,29,0.0,244.08,1
3271,13941.0,8,28,0.2857142857142857,1095.1200000000001,1
3282,17017.0,2,17,0.25925925925925924,780.12,1
3303,17017.0,2,17,0.25925925925925924,97.19999999999999,1
3305,14135.0,3,10,0.0,485.25,1
3328,13108.0,37,29,0.0,350.05999999999995,1
3338,12471.0,1,11,0.3877551020408163,-17.0,0
3339,15601.0,1,15,0.17647058823529413,768.38,1
3387,13418.0,2,16,0.21739130434782608,610.64,1
3409,13418.0,2,16,0.21739130434782608,12.600000000000001,1
3410,14766.0,3,22,0.25,-29.9,0
3411,15658.0,7,29,0.375,306.20000000000005,1
3425,17850.0,2,29,0.02857142857142857,230.56000000000003,1
3461,14388.0,2,23,0.2,312.79999999999995,1
3482,14901.0,4,17,0.1,204.15000000000006,1
3500,18041.0,1,22,0.045454545454545456,193.78,1
3514,15955.0,2,29,0.125,572.38,1
3534,15070.0,365,29,0.0,106.2,1
3535,18041.0,1,22,0.045454545454545456,235.16,1
3602,16244.0,5,29,0.0,1056.6299999999994,1
3665,15111.0,5,29,0.0,288.49999999999994,1
3681,18304.0,34,29,0.0,45.849999999999994,1
3692,12748.0,1,8,0.06696428571428571,4.25,1
3693,14390.0,2,29,0.3076923076923077,-5.95,0
3694,14390.0,2,29,0.3076923076923077,223.7,1
3721,16546.0,12,29,0.3333333333333333,299.40000000000003,1
3727,15260.0,5,29,0.125,362.5,1
3743,15260.0,5,29,0.125,58.0,1
3744,13305.0,5,26,0.0,136.2,1
3749,14491.0,22,29,0.0,127.2,1
3753,14060.0,2,16,0.05,339.84,1
3761,15923.0,18,29,0.0,127.08000000000003,1
3782,16752.0,41,29,0.0,207.5,1
3791,17287.0,3,24,0.0,113.91999999999999,1
3804,17850.0,2,29,0.02857142857142857,380.4600000000001,1
3823,17850.0,2,29,0.02857142857142857,331.26,1
3842,15363.0,22,29,0.5,326.0,1
3858,12915.0,17,29,0.0,199.64999999999998,1
3871,15544.0,2,29,0.18181818181818182,354.5399999999999,1
3897,15738.0,3,22,0.15789473684210525,329.65000000000003,1
3911,16042.0,5,22,0.2857142857142857,-24.95,0
3913,17381.0,4,25,0.03333333333333333,211.2,1
3914,17381.0,4,25,0.03333333333333333,824.88,1
3919,15922.0,31,29,0.5,-5.9,0
3920,15827.0,3,29,0.3,98.18000000000002,1
3927,14180.0,2,15,0.1935483870967742,201.75,1
3939,15827.0,3,29,0.3,92.75000000000001,1
3946,13117.0,5,22,0.0,202.11999999999998,1
3961,16916.0,3,29,0.0,198.07999999999996,1
4011,17964.0,4,29,0.0,261.76000000000005,1
4046,14466.0,6,29,0.0,379.74999999999994,1
4056,17235.0,13,29,0.0,341.9,1
4066,16510.0,29,29,0.0,248.10000000000002,1
4079,17802.0,3,29,0.25,100.19999999999999,1
4091,15107.0,19,16,0.25,116.0,1
4096,17976.0,6,29,0.0,353.18999999999994,1
4161,17850.0,2,29,0.02857142857142857,434.80000000000007,1
4182,17850.0,2,29,0.02857142857142857,390.6600000000001,1
4203,14449.0,2,29,0.0,210.24,1
4253,18305.0,25,29,0.0,54.25,1
4268,18306.0,20,29,0.0,66.65,1
4287,15838.0,3,24,0.05,-280.8,0
4288,13767.0,1,15,0.28846153846153844,-2.1,0
4289,16781.0,20,22,0.5,311.24999999999994,1
4306,17547.0,183,29,1.0,-11.8,0
4308,13491.0,5,16,0.0,98.9,1
4315,16186.0,2,29,0.07692307692307693,307.68000000000006,1
4335,17685.0,3,17,0.0,452.52,1
4347,18307.0,365,29,1.0,0.0,0
4348,18308.0,365,29,1.0,0.0,0
4349,17581.0,1,8,0.1935483870967742,668.3999999999999,1
4380,17581.0,1,8,0.1935483870967742,118.38,1
4387,15732.0,27,29,0.0,138.1,1
4392,13138.0,6,29,0.0,193.23000000000002,1
4406,15823.0,22,29,0.5,15.0,1
4407,18309.0,92,29,0.0,12.8,1
4411,17460.0,10,29,0.25,50.400000000000006,1
4412,17567.0,3,29,0.2,517.9499999999999,1
4439,15061.0,1,16,0.12727272727272726,4076.48,1
4477,15061.0,1,16,0.12727272727272726,2170.9,1
4502,15061.0,1,16,0.12727272727272726,2730.96,1
4508,15061.0,1,16,0.12727272727272726,324.0,1
4510,17850.0,2,29,0.02857142857142857,192.46,1
4523,15061.0,1,16,0.12727272727272726,75.0,1
4526,17850.0,2,29,0.02857142857142857,532.01,1
4543,17850.0,2,29,0.02857142857142857,44.400000000000006,1
4545,15061.0,1,16,0.12727272727272726,30.0,1
4546,16203.0,11,29,0.2,170.7,1
4557,13767.0,1,15,0.28846153846153844,322.79999999999995,1
4561,15640.0,1,12,0.11764705882352941,333.7199999999999,1
4568,15574.0,3,15,0.0,375.65,1
4689,16770.0,3,15,0.16666666666666666,130.8,1
4695,17838.0,3,22,0.16666666666666666,717.1600000000001,1
4726,17228.0,2,24,0.0,183.30000000000004,1
4744,14829.0,9,16,0.3333333333333333,236.97,1
4763,18310.0,27,29,0.0,252.30000000000004,1
4777,17412.0,6,15,0.0,197.3,1
4785,14911.0,1,8,0.1862348178137652,22.5,1
4786,14031.0,2,14,0.13636363636363635,1714.2500000000005,1
4811,14775.0,7,29,0.0,406.55999999999995,1
4831,12971.0,2,10,0.033707865168539325,45.120000000000005,1
4836,15834.0,2,29,0.3333333333333333,-23.849999999999998,0
4838,17659.0,3,15,0.14285714285714285,247.8,1
4850,15299.0,34,29,0.3,1003.2,1
4851,15299.0,34,29,0.3,303.96,1
4852,15299.0,34,29,0.3,527.85,1
4853,16546.0,12,29,0.3333333333333333,-883.08,0
4859,15646.0,11,29,0.25,189.79999999999998,1
4876,13958.0,73,29,1.0,-102.45,0
4881,14443.0,4,25,0.42857142857142855,-1.67,0
4883,14443.0,4,25,0.42857142857142855,-13.9,0
4884,14156.0,1,28,0.16666666666666666,-7.5,0
4886,16995.0,365,29,1.0,-1.25,0
4887,13402.0,10,29,0.0,308.28,1
4904,18168.0,3,16,0.3333333333333333,-16.95,0
4908,17757.0,1,17,0.03225806451612903,143.45,1
4931,14625.0,7,18,0.6,-37.65,0
4933,13011.0,122,29,0.0,50.550000000000004,1
4936,13798.0,1,21,0.09523809523809523,408.0,1
4937,15384.0,9,16,0.3333333333333333,-6.65,0
4939,17924.0,10,11,0.46153846153846156,-23.25,0
4941,13408.0,1,15,0.19480519480519481,-20.85,0
4942,14264.0,20,29,0.3333333333333333,-14.5,0
4944,13295.0,34,16,0.5,-3.25,0
4945,16754.0,183,29,0.0,2002.4,1
4947,16029.0,2,10,0.1,569.4,1
4951,16634.0,41,29,0.0,164.8,1
4959,18239.0,5,29,0.0,438.0999999999999,1
4988,14576.0,365,29,0.0,35.400000000000006,1
4989,13145.0,53,29,0.2,295.0,1
4990,18168.0,3,16,0.3333333333333333,263.29999999999995,1
5017,14395.0,2,24,0.25,308.68,1
5044,14865.0,92,29,0.0,37.2,1
5047,15093.0,4,17,0.3333333333333333,623.7300000000001,1
5063,12738.0,34,29,0.0,155.35,1
5074,16150.0,3,29,0.5,393.42,1
5096,17552.0,8,29,0.3333333333333333,263.62,1
5107,17552.0,8,29,0.3333333333333333,34.9,1
5109,14236.0,25,29,0.0,189.3,1
5112,17961.0,2,10,0.0,127.55000000000001,1
5141,14573.0,2,29,0.3076923076923077,413.0999999999998,1
5217,17135.0,8,28,0.0,215.58,1
5226,13408.0,1,15,0.19480519480519481,534.0,1
5229,17396.0,14,28,0.0,397.5,1
5232,14213.0,73,28,1.0,-1192.2000000000003,0
5237,12967.0,12,15,0.5,1368.4,1
5252,12686.0,53,28,0.0,89.14,1
5259,14679.0,365,28,1.0,-2.55,0
5260,15240.0,5,28,0.2857142857142857,-5.45,0
5263,18225.0,2,22,0.29411764705882354,-31.8,0
5264,13370.0,9,23,0.5,754.8700000000003,1
5303,16883.0,10,28,0.0,128.03,1
5320,13520.0,4,28,0.25,303.4,1
5326,12841.0,1,26,0.038461538461538464,294.25,1
5350,16905.0,2,27,0.125,254.4,1
5360,12427.0,11,8,0.4,303.50000000000006,1
5370,18311.0,5,28,0.0,1334.1300000000003,1
5451,17967.0,8,28,0.0,123.07000000000002,1
5499,18312.0,8,28,0.0,636.6800000000001,1
5546,18313.0,3,28,0.0,2396.960000000001,1
5686,18314.0,365,28,0.0,8.47,1
5687,16891.0,2,23,0.0,232.25999999999988,1
5756,18315.0,1,28,0.0,7257.080000000009,1
6349,18316.0,365,28,0.0,5.46,1
6350,14589.0,122,28,0.0,39.75,1
6353,18317.0,34,28,0.0,549.0,1
6364,14156.0,1,28,0.16666666666666666,322.2,1
6367,18318.0,37,28,0.0,69.3,1
6377,14680.0,2,17,0.30434782608695654,1680.8799999999999,1
6391,18319.0,365,28,1.0,0.0,0
6392,18320.0,365,28,1.0,0.0,0
6393,17884.0,4,25,0.0,187.51000000000002,1
6421,12557.0,12,28,0.0,620.0,1
6426,14083.0,3,11,0.0,309.53999999999996,1
6492,13013.0,2,23,0.13333333333333333,841.94,1
6521,13013.0,2,23,0.13333333333333333,686.4,1
6559,17809.0,6,28,0.2,425.0,1
6560,14210.0,4,28,0.14285714285714285,304.95,1
6575,17809.0,6,28,0.2,791.7000000000002,1
6588,16477.0,3,9,0.0,225.65,1
6602,12600.0,6,14,0.09090909090909091,76.5,1
6604,16013.0,3,14,0.11320754716981132,534.0,1
6606,16013.0,3,14,0.11320754716981132,528.0,1
6607,17949.0,5,23,0.1346153846153846,1314.0,1
6608,12779.0,3,28,0.3333333333333333,248.16,1
6616,16926.0,27,28,0.0,230.25000000000003,1
6630,17787.0,3,28,0.0,736.2799999999999,1
6661,12682.0,1,22,0.0,336.24,1
6677,14911.0,1,8,0.1862348178137652,1705.6499999999994,1
6748,14723.0,2,15,0.0,149.8,1
6767,17954.0,1,24,0.25,108.78,1
6781,17954.0,1,24,0.25,-9.95,0
6782,17841.0,1,12,0.26627218934911245,-5.7,0
6784,17819.0,8,19,0.125,591.4699999999999,1
6796,14723.0,2,15,0.0,101.14000000000001,1
6820,18321.0,3,28,0.0,10661.690000000004,1
6965,12712.0,3,22,0.23529411764705882,175.53000000000003,1
6974,17841.0,1,12,0.26627218934911245,339.5399999999999,1
7003,15373.0,3,16,0.07692307692307693,334.29999999999995,1
7014,16140.0,10,28,0.5,124.14,1
7021,17198.0,4,22,0.0,272.01,1
7074,17238.0,1,24,0.0,254.38999999999996,1
7112,17238.0,1,24,0.0,115.70000000000003,1
7134,12793.0,16,28,0.0,131.8,1
7141,18322.0,46,28,0.0,26.4,1
7149,15769.0,3,28,0.10344827586206896,91.8,1
7150,14396.0,5,28,0.0,110.35000000000001,1
7184,14898.0,4,16,0.25,98.50000000000001,1
7187,18323.0,365,28,1.0,0.0,0
7188,18324.0,365,28,1.0,0.0,0
7189,18325.0,365,28,1.0,0.0,0
7190,18326.0,365,28,1.0,0.0,0
7191,18327.0,365,28,1.0,0.0,0
7192,18328.0,365,28,1.0,0.0,0
7193,18329.0,365,28,1.0,0.0,0
7194,18330.0,365,28,1.0,0.0,0
7195,18331.0,365,28,1.0,0.0,0
7196,18332.0,365,28,1.0,0.0,0
7197,18333.0,365,28,1.0,0.0,0
7198,18334.0,365,28,1.0,0.0,0
7199,18335.0,365,28,1.0,0.0,0
7200,18336.0,365,28,1.0,0.0,0
7201,18337.0,365,28,1.0,0.0,0
7202,18338.0,365,28,1.0,0.0,0
7203,18339.0,365,28,1.0,0.0,0
7204,18340.0,365,28,1.0,0.0,0
7205,18341.0,365,28,1.0,0.0,0
7206,18342.0,365,28,1.0,0.0,0
7207,18343.0,365,28,1.0,0.0,0
7208,18344.0,365,28,1.0,0.0,0
7209,18345.0,365,28,1.0,0.0,0
7210,18346.0,365,28,1.0,0.0,0
7211,18347.0,365,28,1.0,0.0,0
7212,18348.0,365,28,1.0,0.0,0
7213,18349.0,365,28,1.0,0.0,0
7214,12725.0,16,28,0.0,427.79999999999995,1
7238,16725.0,3,16,0.125,122.15000000000002,1
7263,18350.0,25,28,0.0,76.83,1
7278,13941.0,8,28,0.2857142857142857,-75.60000000000001,0
7279,12395.0,3,14,0.2,346.1,1
7291,18351.0,365,28,1.0,0.0,0
7292,18352.0,365,28,1.0,0.0,0
7293,18353.0,365,28,1.0,0.0,0
7294,16455.0,4,18,0.0,246.29999999999998,1
7307,16455.0,4,18,0.0,135.0,1
7313,18354.0,365,28,1.0,0.0,0
7314,13081.0,1,23,0.47619047619047616,2355.1800000000003,1
7387,13081.0,1,23,0.47619047619047616,11.6,1
7388,15545.0,5,28,0.0,135.32999999999998,1
7419,17243.0,1,12,0.13333333333333333,256.9,1
7430,15465.0,4,16,0.25,535.75,1
7437,15708.0,2,26,0.36363636363636365,-8.32,0
7440,13089.0,1,11,0.17796610169491525,734.3999999999999,1
7442,16033.0,1,17,0.25925925925925924,155.64,1
7468,13838.0,3,26,0.0,238.10999999999987,1
7520,15351.0,2,26,0.3,-13.389999999999999,0
7522,18055.0,2,15,0.09090909090909091,431.4500000000001,1
7541,15038.0,3,26,0.14285714285714285,126.43,1
7576,18109.0,1,19,0.16129032258064516,277.45,1
7590,13069.0,1,18,0.1111111111111111,326.5999999999999,1
7631,13069.0,1,18,0.1111111111111111,5.9,1
7633,16241.0,1,26,0.0,277.65,1
7647,14800.0,1,19,0.25,555.8399999999999,1
7698,15708.0,2,26,0.36363636363636365,350.67999999999995,1
7740,16839.0,2,26,0.1282051282051282,552.24,1
7745,16168.0,4,26,0.03571428571428571,275.8,1
7748,16931.0,1,14,0.0,152.04999999999998,1
7789,16814.0,2,26,0.045454545454545456,273.29,1
7804,15351.0,2,26,0.3,274.66999999999996,1
7855,13269.0,2,18,0.11764705882352941,351.43,1
7867,14813.0,13,26,0.0,127.98000000000002,1
7891,12567.0,1,24,0.09090909090909091,1526.92,1
7954,14813.0,13,26,0.0,27.45,1
7960,17062.0,6,15,0.2,179.64,1
7986,15332.0,11,23,0.0,1145.06,1
8011,15332.0,11,23,0.0,438.0,1
8019,15332.0,11,23,0.0,15.0,1
8020,14810.0,2,26,0.0,180.44000000000003,1
8043,16353.0,4,11,0.0,204.0,1
8044,18118.0,1,21,0.16129032258064516,475.85999999999984,1
8162,13831.0,5,26,0.0,408.0,1
8164,12841.0,1,26,0.038461538461538464,211.74000000000004,1
8187,13506.0,13,26,0.3333333333333333,301.12,1
8204,17796.0,5,26,0.0,114.65000000000002,1
8223,15716.0,4,26,0.0,547.1,1
8261,18156.0,3,26,0.0,206.23,1
8316,15221.0,34,23,0.5,-289.15,0
8322,16983.0,3,26,0.125,163.49000000000004,1
8331,17059.0,1,26,0.0,722.3599999999993,1
8448,12748.0,1,8,0.06696428571428571,273.76,1
8485,16327.0,2,26,0.0,535.5999999999999,1
8551,17211.0,2,10,0.1111111111111111,273.3,1
8584,17026.0,92,26,0.0,33.15,1
8587,12748.0,1,8,0.06696428571428571,70.41999999999999,1
8626,15570.0,2,14,0.07692307692307693,517.6500000000001,1
8670,12748.0,1,8,0.06696428571428571,41.45,1
8685,12748.0,1,8,0.06696428571428571,-7.95,0
8686,15880.0,4,26,0.5,343.28,1
8791,16718.0,9,26,0.0,623.7500000000002,1
8836,15808.0,2,18,0.2,1021.4500000000003,1
8900,12748.0,1,8,0.06696428571428571,75.64000000000001,1
8933,17858.0,2,16,0.0,251.25,1
8952,15880.0,4,26,0.5,-30.0,0
8953,16393.0,2,19,0.35,184.79999999999998,1
8963,14527.0,1,11,0.05172413793103448,292.94999999999993,1
8991,14161.0,4,26,0.0,283.15,1
9017,17863.0,3,26,0.0,384.71999999999997,1
9039,16411.0,9,26,0.0,131.5,1
9060,13767.0,1,15,0.28846153846153844,806.2800000000002,1
9073,16402.0,7,26,0.0,211.79999999999993,1
9130,15023.0,1,25,0.08333333333333333,460.59999999999985,1
9167,17402.0,7,26,0.0,271.2,1
9168,15311.0,1,8,0.2288135593220339,650.64,1
9201,15426.0,2,25,0.2857142857142857,411.41999999999985,1
9287,12647.0,3,14,0.07692307692307693,286.5,1
9304,12647.0,3,14,0.07692307692307693,85.5,1
9306,15894.0,9,26,0.0,156.73999999999995,1
9344,15867.0,1,11,0.0625,112.9,1
9373,12472.0,1,26,0.46153846153846156,1631.3000000000009,1
9443,14506.0,2,26,0.0,269.69999999999993,1
9493,14606.0,1,9,0.2734375,-12.899999999999999,0
9495,15555.0,1,18,0.2,198.43,1
9527,13034.0,10,26,0.0,165.86000000000004,1
9538,15235.0,3,8,0.0,85.55000000000001,1
9542,17402.0,7,26,0.0,188.77,1
9565,15889.0,4,26,0.0,297.9199999999999,1
9631,14606.0,1,9,0.2734375,192.67999999999998,1
9673,15953.0,4,26,0.2,209.84,1
9689,16143.0,4,11,0.14285714285714285,355.74999999999994,1
9705,12720.0,2,14,0.13793103448275862,473.39,1
9735,12748.0,1,8,0.06696428571428571,8.649999999999999,1
9741,16422.0,1,11,0.2916666666666667,1668.2,1
9754,12747.0,4,18,0.0,358.55999999999995,1
9761,15502.0,2,25,0.4782608695652174,569.5,1
9779,15502.0,2,25,0.4782608695652174,167.20000000000002,1
9783,12763.0,21,26,0.0,320.08,1
9799,14081.0,3,26,0.5,423.51999999999987,1
9868,18355.0,365,26,0.0,3.35,1
9869,17965.0,2,22,0.0,37.35,1
9876,14404.0,4,26,0.14285714285714285,133.48000000000002,1
9902,13579.0,16,26,0.0,164.7,1
9911,13174.0,2,26,0.0,1415.9700000000003,1
10080,12748.0,1,8,0.06696428571428571,496.4799999999999,1
10144,15987.0,3,25,0.0,113.48,1
10153,17677.0,2,17,0.3023255813953488,922.4000000000001,1
10173,17677.0,2,17,0.3023255813953488,25.200000000000003,1
10174,17677.0,2,17,0.3023255813953488,17.4,1
10175,18356.0,365,25,0.0,2.95,1
10176,13652.0,6,25,0.0,308.79999999999995,1
10194,12586.0,31,25,0.5,-17.0,0
10195,17428.0,2,18,0.15151515151515152,353.00000000000006,1
10204,16161.0,1,16,0.2692307692307692,-39.0,0
10205,17381.0,4,25,0.03333333333333333,2567.64,1
10210,16858.0,29,23,0.5,375.69000000000005,1
10220,18357.0,1,25,0.0,7335.450000000005,1
10817,16161.0,1,16,0.2692307692307692,164.20000000000002,1
10832,18219.0,4,17,0.09090909090909091,210.19,1
10845,18358.0,1,25,0.0,7660.480000000003,1
11413,14293.0,6,25,0.0,364.91999999999985,1
11428,14748.0,4,25,0.16666666666666666,412.21999999999997,1
11457,16638.0,4,16,0.09090909090909091,50.400000000000006,1
11459,17674.0,14,25,0.0,300.66,1
11470,14748.0,4,25,0.16666666666666666,58.2,1
11473,12808.0,14,25,0.0,129.4,1
11480,13094.0,13,25,0.25,223.68,1
11483,15899.0,92,25,0.0,56.25,1
11487,16955.0,15,17,0.2,33.0,1
11488,12708.0,3,25,0.375,196.44,1
11502,18359.0,19,25,1.0,-219.72,0
11522,18360.0,365,25,0.0,26.349999999999998,1
11523,18361.0,16,25,0.0,351.47,1
11547,15898.0,5,23,0.16666666666666666,382.69000000000005,1
11606,14443.0,4,25,0.42857142857142855,303.5,1
11626,16210.0,3,15,0.0,2263.7999999999993,1
11637,17691.0,20,15,0.0,142.50000000000003,1
11646,17227.0,8,25,0.0,142.25,1
11656,15039.0,1,17,0.09615384615384616,611.5100000000002,1
11712,15919.0,3,25,0.0,270.7199999999999,1
11761,13497.0,19,25,0.3333333333333333,153.5,1
11770,15860.0,3,25,0.0,102.66000000000001,1
11785,14189.0,2,24,0.375,311.24,1
11794,15304.0,15,25,0.2,123.15,1
11799,13497.0,19,25,0.3333333333333333,-27.0,0
11800,14867.0,10,25,0.25,-8.95,0
11801,14344.0,6,15,0.0,322.79999999999995,1
11813,12474.0,1,25,0.4,-34.0,0
11814,16719.0,2,25,0.125,430.73,1
11858,15048.0,4,25,0.2,98.70000000000003,1
11881,15301.0,2,25,0.14285714285714285,673.3700000000001,1
11915,14708.0,13,17,0.25,419.06,1
11927,16898.0,3,22,0.25,116.08000000000001,1
11959,12748.0,1,8,0.06696428571428571,133.06999999999994,1
11997,14825.0,4,15,0.0,184.10000000000002,1
12007,18113.0,365,25,0.0,76.32000000000001,1
